2024-02-28T15:48:27.078Z	NEW WS	DEKOSETESTINGSTATION03	127.0.0.1:49985
2024-02-28T15:49:39.155Z	RES IN	0	127.0.0.1:49985	[3,"WGK1Ab7U4nKttj4nM7dCYMrnpW274Q",{"status":"Rejected"}]
2024-02-28T15:49:45.546Z	RES IN	0	127.0.0.1:49985	[3,"7S799WQ1G7UMrUGbK3SxECvvUC9Y62",{"status":"UnlockFailed"}]
2024-02-28T15:49:56.899Z	REQ IN	0	127.0.0.1:49985	[2,"81fe2fcd-d007-43be-947c-1085af350493","BootNotification",{"chargingStation":{"serialNumber":"C1-60_LC-21","model":"WB AC HLC 11kW","vendorName":"KOSTAL Industrie Elektrik GmbH","firmwareVersion":"2024.06.25708.NB"},"reason":"LocalReset"}]
2024-02-28T15:49:56.910Z	RES OUT	0	127.0.0.1:49985	[3,"81fe2fcd-d007-43be-947c-1085af350493",{"status":"Pending","currentTime":"2024-02-28T15:49:56.909Z","interval":30}]
2024-02-28T15:50:26.501Z	RES IN	0	127.0.0.1:49985	[3,"9W76b6552f6n1519Wb4bQ6QKvMM2xj",{"getVariableResult":[{"attributeStatus":"Accepted","attributeType":"Actual","attributeValue":"30","component":{"name":"OCPPCommCtrlr"},"variable":{"name":"WebSocketPingInterval"}}]}]
2024-02-28T15:50:26.888Z	REQ IN	0	127.0.0.1:49985	[2,"d8a3fbd3-1da3-486d-8da3-a50d04107ac0","BootNotification",{"chargingStation":{"serialNumber":"C1-60_LC-21","model":"WB AC HLC 11kW","vendorName":"KOSTAL Industrie Elektrik GmbH","firmwareVersion":"2024.06.25708.NB"},"reason":"LocalReset"}]
2024-02-28T15:50:26.904Z	RES OUT	0	127.0.0.1:49985	[3,"d8a3fbd3-1da3-486d-8da3-a50d04107ac0",{"status":"Pending","currentTime":"2024-02-28T15:50:26.902Z","interval":30}]
2024-02-28T15:50:35.956Z	RES IN	0	127.0.0.1:49985	[3,"t25vSh8Qpd68pS959t3KdjbA16CEvA",{"setVariableResult":[{"attributeType":"Actual","attributeStatus":"Accepted","component":{"name":"OCPPCommCtrlr"},"variable":{"name":"WebSocketPingInterval"}}]}]
2024-02-28T15:50:46.423Z	RES IN	0	127.0.0.1:49985	[3,"Mt9M2j2GYQQz8b627CrA2xxv6U442M",{"getVariableResult":[{"attributeStatus":"Accepted","attributeType":"Actual","attributeValue":"10","component":{"name":"OCPPCommCtrlr"},"variable":{"name":"WebSocketPingInterval"}}]}]
2024-02-28T15:50:56.885Z	REQ IN	0	127.0.0.1:49985	[2,"c4aa9436-ba6f-4f5f-baf6-e3089aa86f68","BootNotification",{"chargingStation":{"serialNumber":"C1-60_LC-21","model":"WB AC HLC 11kW","vendorName":"KOSTAL Industrie Elektrik GmbH","firmwareVersion":"2024.06.25708.NB"},"reason":"LocalReset"}]
2024-02-28T15:50:56.895Z	RES OUT	0	127.0.0.1:49985	[3,"c4aa9436-ba6f-4f5f-baf6-e3089aa86f68",{"status":"Pending","currentTime":"2024-02-28T15:50:56.894Z","interval":30}]
2024-02-28T15:51:11.552Z	RES IN	0	127.0.0.1:49985	[3,"C8Kdt8b6b7nQzMrQxxMd5fWhfS4Wxv",{"status":"Accepted"}]
2024-02-28T15:51:11.557Z	REQ IN	0	127.0.0.1:49985	[2,"894a4933-26c4-4e36-9b09-b363ecbf3947","NotifyReport",{"requestId":1717920662,"generatedAt":"2024-02-28T15:51:12.005Z","reportData":[{"component":{"name":"AlignedDataCtrlr"},"variable":{"name":"Available"},"variableAttribute":[{"type":"Actual","value":"true","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"AlignedDataCtrlr"},"variable":{"name":"Enabled"},"variableAttribute":[{"type":"Actual","value":"true","persistent":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"AlignedDataCtrlr"},"variable":{"name":"Interval"},"variableAttribute":[{"type":"Actual","value":"0","persistent":true}],"variableCharacteristics":{"unit":"s","dataType":"integer","supportsMonitoring":true}},{"component":{"name":"AlignedDataCtrlr"},"variable":{"name":"Measurands"},"variableAttribute":[{"type":"Actual","persistent":true}],"variableCharacteristics":{"dataType":"MemberList","maxLimit":1000.0,"valuesList":"Current.Export,Current.Import,Current.Offered,Energy.Active.Export.Interval,Energy.Active.Export.Register,Energy.Active.Import.Interval,Energy.Active.Import.Register,Energy.Active.Net,Energy.Apparent.Export,Energy.Apparent.Import,Energy.Apparent.Net,Energy.Reactive.Export.Interval,Energy.Reactive.Export.Register,Energy.Reactive.Import.Interval,Energy.Reactive.Import.Register,Energy.Reactive.Net,Frequency,Power.Active.Export,Power.Active.Import,Power.Factor,Power.Offered,Power.Reactive.Export,Power.Reactive.Import,SoC,Voltage","supportsMonitoring":true}},{"component":{"name":"AlignedDataCtrlr"},"variable":{"name":"SendDuringIdle"},"variableAttribute":[{"type":"Actual","value":"false","persistent":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"AlignedDataCtrlr"},"variable":{"name":"TxEndedInterval"},"variableAttribute":[{"type":"Actual","value":"0","persistent":true}],"variableCharacteristics":{"unit":"s","dataType":"integer","supportsMonitoring":true}},{"component":{"name":"AlignedDataCtrlr"},"variable":{"name":"TxEndedMeasurands"},"variableAttribute":[{"type":"Actual","persistent":true}],"variableCharacteristics":{"dataType":"MemberList","maxLimit":1000.0,"valuesList":"Current.Export,Current.Import,Current.Offered,Energy.Active.Export.Interval,Energy.Active.Export.Register,Energy.Active.Import.Interval,Energy.Active.Import.Register,Energy.Active.Net,Energy.Apparent.Export,Energy.Apparent.Import,Energy.Apparent.Net,Energy.Reactive.Export.Interval,Energy.Reactive.Export.Register,Energy.Reactive.Import.Interval,Energy.Reactive.Import.Register,Energy.Reactive.Net,Frequency,Power.Active.Export,Power.Active.Import,Power.Factor,Power.Offered,Power.Reactive.Export,Power.Reactive.Import,SoC,Voltage","supportsMonitoring":true}},{"component":{"name":"AuthCacheCtrlr"},"variable":{"name":"Available"},"variableAttribute":[{"type":"Actual","value":"true","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"AuthCacheCtrlr"},"variable":{"name":"Enabled"},"variableAttribute":[{"type":"Actual","value":"true","persistent":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"AuthCacheCtrlr"},"variable":{"name":"LifeTime"},"variableAttribute":[{"type":"Actual","value":"3600","persistent":true}],"variableCharacteristics":{"dataType":"integer","minLimit":0.0,"maxLimit":604800.0,"supportsMonitoring":true}},{"component":{"name":"AuthCacheCtrlr"},"variable":{"name":"Policy"},"variableAttribute":[{"type":"Actual","value":"LRU","persistent":true}],"variableCharacteristics":{"dataType":"OptionList","valuesList":"FIFO,LFU,LRU","supportsMonitoring":true}},{"component":{"name":"AuthCacheCtrlr"},"variable":{"name":"Storage"},"variableAttribute":[{"type":"Actual","value":"3000","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"integer","maxLimit":1000000.0,"supportsMonitoring":true}},{"component":{"name":"AuthCtrlr"},"variable":{"name":"AuthorizeRemoteStart"},"variableAttribute":[{"type":"Actual","value":"true","persistent":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"AuthCtrlr"},"variable":{"name":"Enabled"},"variableAttribute":[{"type":"Actual","value":"true","persistent":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"AuthCtrlr"},"variable":{"name":"LocalAuthorizeOffline"},"variableAttribute":[{"type":"Actual","value":"true","persistent":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"AuthCtrlr"},"variable":{"name":"LocalPreAuthorize"},"variableAttribute":[{"type":"Actual","value":"true","persistent":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"AuthCtrlr"},"variable":{"name":"MasterPassGroupId"},"variableAttribute":[{"type":"Actual","value":"","persistent":true}],"variableCharacteristics":{"dataType":"string","maxLimit":36.0,"supportsMonitoring":true}},{"component":{"name":"AuthCtrlr"},"variable":{"name":"OfflineTxForUnknownIdEnabled"},"variableAttribute":[{"type":"Actual","value":"true","persistent":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"ACCurrent","instance":"L1"},"variableAttribute":[{"type":"Actual","value":"0","mutability":"ReadOnly"}],"variableCharacteristics":{"unit":"A","dataType":"decimal","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"ACCurrent","instance":"L2"},"variableAttribute":[{"type":"Actual","value":"0","mutability":"ReadOnly"}],"variableCharacteristics":{"unit":"A","dataType":"decimal","supportsMonitoring":true}}],"tbc":true,"seqNo":0}]
2024-02-28T15:51:11.602Z	RES OUT	0	127.0.0.1:49985	[3,"894a4933-26c4-4e36-9b09-b363ecbf3947",{}]
2024-02-28T15:51:11.658Z	REQ IN	0	127.0.0.1:49985	[2,"44dd0935-32d4-4b0b-a7ba-fa6acd15c62a","NotifyReport",{"requestId":1717920662,"generatedAt":"2024-02-28T15:51:12.005Z","reportData":[{"component":{"name":"ChargingStation"},"variable":{"name":"ACCurrent","instance":"L3"},"variableAttribute":[{"type":"Actual","value":"0","mutability":"ReadOnly"}],"variableCharacteristics":{"unit":"A","dataType":"decimal","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"ACVoltage","instance":"L1"},"variableAttribute":[{"type":"Actual","value":"234.360397","mutability":"ReadOnly"}],"variableCharacteristics":{"unit":"V","dataType":"decimal","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"ACVoltage","instance":"L2"},"variableAttribute":[{"type":"Actual","value":"236.150024","mutability":"ReadOnly"}],"variableCharacteristics":{"unit":"V","dataType":"decimal","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"ACVoltage","instance":"L3"},"variableAttribute":[{"type":"Actual","value":"233.092682","mutability":"ReadOnly"}],"variableCharacteristics":{"unit":"V","dataType":"decimal","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"AllowNewSessionsPendingFirmwareUpdate"},"variableAttribute":[{"type":"Actual","value":"false","persistent":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"AvailabilityState"},"variableAttribute":[{"type":"Actual","value":"Available","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"OptionList","valuesList":"Available,Faulted,Occupied,Reserved,Unavailable","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"Available"},"variableAttribute":[{"type":"Actual","value":"true","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"CosPhi"},"variableAttribute":[{"type":"Actual","value":"0","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"decimal","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"CurrentLimit"},"variableAttribute":[{"type":"Actual","value":"16","mutability":"ReadOnly"}],"variableCharacteristics":{"unit":"A","dataType":"decimal","supportsMonitoring":false}},{"component":{"name":"ChargingStation"},"variable":{"name":"Enabled"},"variableAttribute":[{"type":"Actual","value":"true","mutability":"ReadOnly","persistent":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"EnergyImportRegister"},"variableAttribute":[{"type":"Actual","value":"83771.400452","mutability":"ReadOnly","persistent":true}],"variableCharacteristics":{"unit":"Wh","dataType":"decimal","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"FirmwareUpdateInProgress"},"variableAttribute":[{"type":"Actual","value":"false","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"FirmwareVersion"},"variableAttribute":[{"type":"Actual","value":"2024.06.25708.NB-develop","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"Frequency"},"variableAttribute":[{"type":"Actual","value":"50.221565","mutability":"ReadOnly"}],"variableCharacteristics":{"unit":"Hz","dataType":"decimal","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"NumberOfConnectors"},"variableAttribute":[{"type":"Actual","value":"1","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"Power"},"variableAttribute":[{"type":"Actual","value":"0","mutability":"ReadOnly"}],"variableCharacteristics":{"unit":"W","dataType":"decimal","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"PowerLimit"},"variableAttribute":[{"type":"Actual","value":"11000","mutability":"ReadOnly"}],"variableCharacteristics":{"unit":"W","dataType":"decimal","supportsMonitoring":false}},{"component":{"name":"ChargingStation"},"variable":{"name":"Problem"},"variableAttribute":[{"type":"Actual","value":"false","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"ChargingStation"},"variable":{"name":"SupplyPhases"},"variableAttribute":[{"type":"Actual","value":"3","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"ClockCtrlr"},"variable":{"name":"DateTime"},"variableAttribute":[{"type":"Actual","value":"2024-02-28T15:51:12.005756Z","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"dateTime","supportsMonitoring":true}}],"tbc":true,"seqNo":1}]
2024-02-28T15:51:11.680Z	RES OUT	0	127.0.0.1:49985	[3,"44dd0935-32d4-4b0b-a7ba-fa6acd15c62a",{}]
2024-02-28T15:51:11.732Z	REQ IN	0	127.0.0.1:49985	[2,"347fcccb-3caf-4fcc-b047-a67a04d465ff","NotifyReport",{"requestId":1717920662,"generatedAt":"2024-02-28T15:51:12.005Z","reportData":[{"component":{"name":"ClockCtrlr"},"variable":{"name":"NtpSource"},"variableAttribute":[{"type":"Actual","value":"DHCP","persistent":true}],"variableCharacteristics":{"dataType":"OptionList","valuesList":"DHCP,manual","supportsMonitoring":true}},{"component":{"name":"ClockCtrlr"},"variable":{"name":"TimeSource"},"variableAttribute":[{"type":"Actual","value":"Heartbeat","persistent":true}],"variableCharacteristics":{"dataType":"SequenceList","valuesList":"GPS,Heartbeat,MobileNetwork,NTP,RadioTimeTransmitter,RealTimeClock","supportsMonitoring":true}},{"component":{"name":"DataLink","instance":"Ethernet"},"variable":{"name":"IPAddress"},"variableAttribute":[{"type":"Actual","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":true}},{"component":{"name":"DataLink","instance":"Ethernet"},"variable":{"name":"NetworkAddress"},"variableAttribute":[{"type":"Actual","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":true}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"BytesPerMessage","instance":"GetReport"},"variableAttribute":[{"type":"Actual","value":"1048576","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"BytesPerMessage","instance":"GetVariables"},"variableAttribute":[{"type":"Actual","value":"1048576","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"BytesPerMessage","instance":"SetVariables"},"variableAttribute":[{"type":"Actual","value":"1048576","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"ItemsPerMessage","instance":"GetReport"},"variableAttribute":[{"type":"Actual","value":"1000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"ItemsPerMessage","instance":"GetVariables"},"variableAttribute":[{"type":"Actual","value":"1000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"ItemsPerMessage","instance":"SetVariables"},"variableAttribute":[{"type":"Actual","value":"1000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"DisplayMessageCtrlr"},"variable":{"name":"Available"},"variableAttribute":[{"type":"Actual","value":"false","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"DisplayMessageCtrlr"},"variable":{"name":"DisplayMessages"},"variableAttribute":[{"type":"Actual","value":"0","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"integer","maxLimit":32.0,"supportsMonitoring":true}},{"component":{"name":"DisplayMessageCtrlr"},"variable":{"name":"Enabled"},"variableAttribute":[{"type":"Actual","value":"true","persistent":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"DisplayMessageCtrlr"},"variable":{"name":"SupportedFormats"},"variableAttribute":[{"type":"Actual","value":"ASCII,HTML,URI,UTF8","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"MemberList","valuesList":"ASCII,HTML,URI,UTF8","supportsMonitoring":true}},{"component":{"name":"DisplayMessageCtrlr"},"variable":{"name":"SupportedPriorities"},"variableAttribute":[{"type":"Actual","value":"AlwaysFront,InFront,NormalCycle","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"MemberList","valuesList":"AlwaysFront,InFront,NormalCycle","supportsMonitoring":true}},{"component":{"name":"LocalAuthListCtrlr"},"variable":{"name":"Available"},"variableAttribute":[{"type":"Actual","value":"true","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"LocalAuthListCtrlr"},"variable":{"name":"BytesPerMessage","instance":"SendLocalList"},"variableAttribute":[{"type":"Actual","value":"1048576","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"LocalAuthListCtrlr"},"variable":{"name":"Enabled"},"variableAttribute":[{"type":"Actual","value":"true","persistent":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"LocalAuthListCtrlr"},"variable":{"name":"Entries"},"variableAttribute":[{"type":"Actual","value":"1","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"integer","maxLimit":1000.0,"supportsMonitoring":true}},{"component":{"name":"LocalAuthListCtrlr"},"variable":{"name":"ItemsPerMessage","instance":"SendLocalList"},"variableAttribute":[{"type":"Actual","value":"1000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}}],"tbc":true,"seqNo":2}]
2024-02-28T15:51:11.748Z	RES OUT	0	127.0.0.1:49985	[3,"347fcccb-3caf-4fcc-b047-a67a04d465ff",{}]
2024-02-28T15:51:11.795Z	REQ IN	0	127.0.0.1:49985	[2,"60449e89-64bf-41a4-b358-9cec59c4bec1","NotifyReport",{"requestId":1717920662,"generatedAt":"2024-02-28T15:51:12.005Z","reportData":[{"component":{"name":"MonitoringCtrlr"},"variable":{"name":"Available"},"variableAttribute":[{"type":"Actual","value":"true","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"MonitoringCtrlr"},"variable":{"name":"BytesPerMessage","instance":"ClearVariableMonitoring"},"variableAttribute":[{"type":"Actual","value":"1048576","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"MonitoringCtrlr"},"variable":{"name":"BytesPerMessage","instance":"SetVariableMonitoring"},"variableAttribute":[{"type":"Actual","value":"1048576","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"MonitoringCtrlr"},"variable":{"name":"Enabled"},"variableAttribute":[{"type":"Actual","value":"true","persistent":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"MonitoringCtrlr"},"variable":{"name":"ItemsPerMessage","instance":"ClearVariableMonitoring"},"variableAttribute":[{"type":"Actual","value":"1000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"MonitoringCtrlr"},"variable":{"name":"ItemsPerMessage","instance":"SetVariableMonitoring"},"variableAttribute":[{"type":"Actual","value":"1000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"MonitoringCtrlr"},"variable":{"name":"MonitoringBase"},"variableAttribute":[{"type":"Actual","value":"FactoryDefault","mutability":"ReadOnly","persistent":true}],"variableCharacteristics":{"dataType":"OptionList","valuesList":"All,FactoryDefault,HardWiredOnly","supportsMonitoring":true}},{"component":{"name":"MonitoringCtrlr"},"variable":{"name":"MonitoringLevel"},"variableAttribute":[{"type":"Actual","value":"9","mutability":"ReadOnly","persistent":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"MonitoringCtrlr"},"variable":{"name":"OfflineQueuingSeverity"},"variableAttribute":[{"type":"Actual","value":"4","persistent":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"ActiveNetworkProfile"},"variableAttribute":[{"type":"Actual","value":"0","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"FileTransferProtocols"},"variableAttribute":[{"type":"Actual","value":"FTP,FTPS,HTTP,HTTPS,SFTP","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"MemberList","valuesList":"FTP,FTPS,HTTP,HTTPS,SFTP","supportsMonitoring":true}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"HeartbeatInterval"},"variableAttribute":[{"type":"Actual","value":"60","persistent":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"MessageAttemptInterval","instance":"TransactionEvent"},"variableAttribute":[{"type":"Actual","value":"60","persistent":true}],"variableCharacteristics":{"unit":"s","dataType":"integer","minLimit":1.0,"maxLimit":3600.0,"supportsMonitoring":true}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"MessageAttempts","instance":"TransactionEvent"},"variableAttribute":[{"type":"Actual","value":"1","persistent":true}],"variableCharacteristics":{"dataType":"integer","minLimit":1.0,"maxLimit":10.0,"supportsMonitoring":true}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"MessageTimeout","instance":"Default"},"variableAttribute":[{"type":"Actual","value":"30","mutability":"ReadOnly"}],"variableCharacteristics":{"unit":"s","dataType":"integer","supportsMonitoring":true}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"NetworkConfigurationPriority"},"variableAttribute":[{"type":"Actual","value":"0","persistent":true}],"variableCharacteristics":{"dataType":"SequenceList","valuesList":"0,1,2","supportsMonitoring":true}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"NetworkProfileConnectionAttempts"},"variableAttribute":[{"type":"Actual","value":"5","persistent":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"OfflineThreshold"},"variableAttribute":[{"type":"Actual","value":"3600","persistent":true}],"variableCharacteristics":{"unit":"s","dataType":"integer","minLimit":0.0,"supportsMonitoring":true}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"OnlineAndAccepted"},"variableAttribute":[{"type":"Actual","value":"false","mutability":"ReadOnly"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"ResetRetries"},"variableAttribute":[{"type":"Actual","value":"3","persistent":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}}],"tbc":true,"seqNo":3}]
2024-02-28T15:51:11.813Z	RES OUT	0	127.0.0.1:49985	[3,"60449e89-64bf-41a4-b358-9cec59c4bec1",{}]
