2024-02-29T12:51:23.982Z	NEW WS	GD001	127.0.0.1:60838
2024-02-29T12:52:55.276Z	NEW WS	WBX332442	127.0.0.1:60903
2024-02-29T12:54:57.313Z	REQ IN	0	127.0.0.1:60903	[2,"b03b6715-8823-4e07-8257-c22d6b421b7d","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T12:54:57.331Z	RES OUT	0	127.0.0.1:60903	[3,"b03b6715-8823-4e07-8257-c22d6b421b7d",{"status":"Pending","currentTime":"2024-02-29T12:54:57.326Z","interval":30}]
2024-02-29T12:55:04.197Z	RES IN	0	127.0.0.1:60903	[3,"93Ezr3MbSz872AdK4h8nUb3fd7nz64",{"status":"Accepted"}]
2024-02-29T12:55:04.567Z	REQ IN	0	127.0.0.1:60903	[2,"8855b724-543f-49f7-b89b-6cfed5947458","NotifyReport",{"generatedAt":"2024-02-29T12:55:03.97Z","reportData":[{"component":{"instance":"default","name":"AlignedDataCtrlr"},"variable":{"name":"Enabled"},"variableAttribute":[{"persistent":true,"value":"true"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"instance":"default","name":"AuthCtrlr"},"variable":{"name":"AuthorizeRemoteStart"},"variableAttribute":[{"persistent":true,"value":"false"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"instance":"default","name":"AuthCtrlr"},"variable":{"name":"DisableRemoteAuthorization"},"variableAttribute":[{"persistent":true,"value":"false"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"instance":"default","name":"AuthCtrlr"},"variable":{"name":"Enabled"},"variableAttribute":[{"persistent":true,"value":"true"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"instance":"default","name":"AuthCtrlr"},"variable":{"name":"LocalAuthorizeOffline"},"variableAttribute":[{"persistent":true,"value":"false"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"instance":"default","name":"AuthCtrlr"},"variable":{"name":"RejectRemoteAuthorizationWithoutEvseId"},"variableAttribute":[{"persistent":true,"value":"false"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"instance":"default","name":"ChargingStation"},"variable":{"name":"AllowChargingDuringFirmwareInstallation"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"false"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"instance":"default","name":"ChargingStation"},"variable":{"name":"BaseUri"},"variableAttribute":[{"persistent":true,"value":"ws://api1.ocpp.charging.cloud:9920/"}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":false}},{"component":{"instance":"default","name":"ChargingStation"},"variable":{"name":"BasicAuthPassword"},"variableAttribute":[{"mutability":"WriteOnly","persistent":true}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":false}},{"component":{"instance":"default","name":"ChargingStation"},"variable":{"name":"BootReason"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"Unknown"}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":false}},{"component":{"instance":"default","name":"ChargingStation"},"variable":{"name":"Identity"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"WBX332442"}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":false}},{"component":{"instance":"default","name":"ChargingStation"},"variable":{"name":"Model"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"DCF2-213-80000000"}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":false}},{"component":{"instance":"default","name":"ChargingStation"},"variable":{"name":"RecentFirmwareUpdateId"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"0"}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":false}},{"component":{"instance":"default","name":"ChargingStation"},"variable":{"name":"VendorName"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"Wallbox Chargers, Inc"}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":false}},{"component":{"evse":{"connectorId":1,"id":1},"instance":"1","name":"Connector"},"variable":{"name":"AvailabilityState"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"available"}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":false}},{"component":{"evse":{"connectorId":1,"id":2},"instance":"2","name":"Connector"},"variable":{"name":"AvailabilityState"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"available"}],"variableCharacteristics":{"dataType":"string","supportsMonitoring":false}},{"component":{"evse":{"id":1},"instance":"1","name":"Evse"},"variable":{"name":"AllowReset"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"false"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"evse":{"id":1},"instance":"1","name":"Evse"},"variable":{"name":"Enabled"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"true"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"evse":{"id":2},"instance":"2","name":"Evse"},"variable":{"name":"AllowReset"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"false"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"evse":{"id":2},"instance":"2","name":"Evse"},"variable":{"name":"Enabled"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"true"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}}],"requestId":1361219141,"seqNo":0,"tbc":true}]
2024-02-29T12:55:04.627Z	RES OUT	0	127.0.0.1:60903	[3,"8855b724-543f-49f7-b89b-6cfed5947458",{}]
2024-02-29T12:55:05.111Z	REQ IN	0	127.0.0.1:60903	[2,"6001ff4d-f9d0-4ebb-b8e5-ec623fcf81bb","NotifyReport",{"generatedAt":"2024-02-29T12:55:03.988Z","reportData":[{"component":{"instance":"default","name":"OCPPCommCtrlr"},"variable":{"name":"ActiveOcppVersion"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"ocpp2.0.1"}],"variableCharacteristics":{"dataType":"OptionList","supportsMonitoring":false,"valuesList":"ocpp2.0.1"}},{"component":{"instance":"default","name":"OCPPCommCtrlr"},"variable":{"name":"HeartbeatInterval"},"variableAttribute":[{"persistent":true,"value":"60"}],"variableCharacteristics":{"dataType":"integer","minLimit":1.0,"supportsMonitoring":false,"unit":"seconds"}},{"component":{"instance":"default","name":"OCPPCommCtrlr"},"variable":{"name":"MaxConsecutiveTimeouts"},"variableAttribute":[{"persistent":true,"value":"5"}],"variableCharacteristics":{"dataType":"integer","minLimit":1.0,"supportsMonitoring":false}},{"component":{"instance":"default","name":"OCPPCommCtrlr"},"variable":{"instance":"BootNotificationRequestEvent","name":"MessageAttemptInterval"},"variableAttribute":[{"persistent":true,"value":"30"}],"variableCharacteristics":{"dataType":"integer","minLimit":1.0,"supportsMonitoring":false,"unit":"seconds"}},{"component":{"instance":"default","name":"OCPPCommCtrlr"},"variable":{"instance":"TransactionEvent","name":"MessageAttemptInterval"},"variableAttribute":[{"persistent":true,"value":"40"}],"variableCharacteristics":{"dataType":"integer","minLimit":1.0,"supportsMonitoring":false,"unit":"seconds"}},{"component":{"instance":"default","name":"OCPPCommCtrlr"},"variable":{"instance":"TransactionEvent","name":"MessageAttempts"},"variableAttribute":[{"persistent":true,"value":"4"}],"variableCharacteristics":{"dataType":"integer","minLimit":1.0,"supportsMonitoring":false}},{"component":{"instance":"default","name":"OCPPCommCtrlr"},"variable":{"name":"MessageTimeout"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"5"}],"variableCharacteristics":{"dataType":"integer","minLimit":1.0,"supportsMonitoring":false,"unit":"seconds"}},{"component":{"instance":"default","name":"OCPPCommCtrlr"},"variable":{"name":"OfflineThreshold"},"variableAttribute":[{"persistent":true,"value":"10"}],"variableCharacteristics":{"dataType":"integer","minLimit":1.0,"supportsMonitoring":false,"unit":"seconds"}},{"component":{"instance":"default","name":"OCPPCommCtrlr"},"variable":{"name":"UnlockOnEVSideDisconnect"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"false"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"instance":"default","name":"SampledDataCtrlr"},"variable":{"name":"Available"},"variableAttribute":[{"mutability":"ReadOnly","persistent":true,"value":"true"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"instance":"default","name":"SampledDataCtrlr"},"variable":{"name":"Enabled"},"variableAttribute":[{"persistent":true,"value":"true"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"instance":"default","name":"SampledDataCtrlr"},"variable":{"name":"TxEndedInterval"},"variableAttribute":[{"persistent":true,"value":"10"}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":false}},{"component":{"instance":"default","name":"SampledDataCtrlr"},"variable":{"name":"TxEndedMeasurands"},"variableAttribute":[{"persistent":true,"value":"Current.Import,Current.Offered,Energy.Active.Import.Register,Frequency,Power.Active.Import,Power.Factor,Power.Offered,SoC,Voltage"}],"variableCharacteristics":{"dataType":"MemberList","supportsMonitoring":false,"valuesList":"Current.Import,Current.Offered,Energy.Active.Import.Register,Frequency,Power.Active.Import,Power.Factor,Power.Offered,SoC,Voltage"}},{"component":{"instance":"default","name":"SampledDataCtrlr"},"variable":{"name":"TxStartedMeasurands"},"variableAttribute":[{"persistent":true,"value":"Current.Import,Current.Offered,Energy.Active.Import.Register,Frequency,Power.Active.Import,Power.Factor,Power.Offered,SoC,Voltage"}],"variableCharacteristics":{"dataType":"MemberList","supportsMonitoring":false,"valuesList":"Current.Import,Current.Offered,Energy.Active.Import.Register,Frequency,Power.Active.Import,Power.Factor,Power.Offered,SoC,Voltage"}},{"component":{"instance":"default","name":"SampledDataCtrlr"},"variable":{"name":"TxUpdatedInterval"},"variableAttribute":[{"persistent":true,"value":"10"}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":false}},{"component":{"instance":"default","name":"SampledDataCtrlr"},"variable":{"name":"TxUpdatedMeasurands"},"variableAttribute":[{"persistent":true,"value":"Current.Import,Current.Offered,Energy.Active.Import.Register,Frequency,Power.Active.Import,Power.Factor,Power.Offered,SoC,Voltage"}],"variableCharacteristics":{"dataType":"MemberList","supportsMonitoring":false,"valuesList":"Current.Import,Current.Offered,Energy.Active.Import.Register,Frequency,Power.Active.Import,Power.Factor,Power.Offered,SoC,Voltage"}},{"component":{"instance":"default","name":"TxCtrlr"},"variable":{"name":"EVConnectionTimeOut"},"variableAttribute":[{"persistent":true,"value":"120"}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":false,"unit":"seconds"}},{"component":{"instance":"default","name":"TxCtrlr"},"variable":{"name":"MaxEnergyOnInvalidId"},"variableAttribute":[{"persistent":true,"value":"0"}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":false,"unit":"Wh"}},{"component":{"instance":"default","name":"TxCtrlr"},"variable":{"name":"StopTxOnInvalidId"},"variableAttribute":[{"persistent":true,"value":"true"}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"instance":"default","name":"TxCtrlr"},"variable":{"name":"TxStartPoint"},"variableAttribute":[{"constant":true,"mutability":"ReadOnly","persistent":true,"value":"Authorized"}],"variableCharacteristics":{"dataType":"MemberList","supportsMonitoring":false,"valuesList":"ParkingBayOccupancy,EVConnected,Authorized,DataSigned,PowerPathClosed,EnergyTransfer"}}],"requestId":1361219141,"seqNo":1,"tbc":true}]
2024-02-29T12:55:05.135Z	RES OUT	0	127.0.0.1:60903	[3,"6001ff4d-f9d0-4ebb-b8e5-ec623fcf81bb",{}]
2024-02-29T12:55:05.525Z	REQ IN	0	127.0.0.1:60903	[2,"fd5f6af0-c853-4ea6-90fa-ea6766003e45","NotifyReport",{"generatedAt":"2024-02-29T12:55:04.007Z","reportData":[{"component":{"instance":"default","name":"TxCtrlr"},"variable":{"name":"TxStopPoint"},"variableAttribute":[{"constant":true,"mutability":"ReadOnly","persistent":true,"value":"Authorized,EVConnected"}],"variableCharacteristics":{"dataType":"MemberList","supportsMonitoring":false,"valuesList":"ParkingBayOccupancy,EVConnected,Authorized,DataSigned,PowerPathClosed,EnergyTransfer"}}],"requestId":1361219141,"seqNo":2,"tbc":false}]
2024-02-29T12:55:05.535Z	RES OUT	0	127.0.0.1:60903	[3,"fd5f6af0-c853-4ea6-90fa-ea6766003e45",{}]
2024-02-29T12:55:27.634Z	REQ IN	0	127.0.0.1:60903	[2,"cc95a0e5-8f5f-411c-9b14-1c7a4263dc7b","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T12:55:27.643Z	RES OUT	0	127.0.0.1:60903	[3,"cc95a0e5-8f5f-411c-9b14-1c7a4263dc7b",{"status":"Pending","currentTime":"2024-02-29T12:55:27.642Z","interval":30}]
2024-02-29T12:55:28.178Z	RES IN	0	127.0.0.1:60903	[3,"14UpdKv4r3QzWQt4UQQ23xd8Qz9d5v",{"getVariableResult":[{"attributeStatus":"UnknownVariable","component":{"name":"OCPPCommCtrlr"},"variable":{"name":"WebSocketPingInterval"}}]}]
2024-02-29T12:55:46.314Z	RES IN	0	127.0.0.1:60903	[3,"UpEv7b25bEbE9G72j2Mvnvr43A174v",{"getVariableResult":[{"attributeStatus":"Accepted","attributeValue":"60","component":{"name":"OCPPCommCtrlr"},"variable":{"name":"HeartbeatInterval"}}]}]
2024-02-29T12:55:51.798Z	RES IN	0	127.0.0.1:60903	[3,"7tnd1YS8U8dt3h5CS6v2h8p839v37A",{"setVariableResult":[{"attributeStatus":"Accepted","component":{"name":"OCPPCommCtrlr"},"variable":{"name":"HeartbeatInterval"}}]}]
2024-02-29T12:55:58.060Z	REQ IN	0	127.0.0.1:60903	[2,"5fe7294a-ffff-4dbc-986b-3b6f82ef8bf4","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T12:55:58.070Z	RES OUT	0	127.0.0.1:60903	[3,"5fe7294a-ffff-4dbc-986b-3b6f82ef8bf4",{"status":"Pending","currentTime":"2024-02-29T12:55:58.069Z","interval":30}]
2024-02-29T12:56:18.283Z	RES IN	0	127.0.0.1:60903	[3,"5G7pt7EEd561Edhd81nWbCnWQxUQp8",{"status":"Accepted"}]
2024-02-29T12:56:28.404Z	REQ IN	0	127.0.0.1:60903	[2,"52938040-6777-42b4-b9a8-903b760e51bc","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T12:56:28.414Z	RES OUT	0	127.0.0.1:60903	[3,"52938040-6777-42b4-b9a8-903b760e51bc",{"status":"Pending","currentTime":"2024-02-29T12:56:28.413Z","interval":30}]
2024-02-29T12:56:48.984Z	ERR IN	-	127.0.0.1:60903	jb99fhb2fh9jKKE2UC35127Qv1Ad2b => NotSupported
2024-02-29T12:56:58.837Z	REQ IN	0	127.0.0.1:60903	[2,"299ece88-ab75-470a-9709-2c2b5e1a41c9","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T12:56:58.851Z	RES OUT	0	127.0.0.1:60903	[3,"299ece88-ab75-470a-9709-2c2b5e1a41c9",{"status":"Pending","currentTime":"2024-02-29T12:56:58.850Z","interval":30}]
2024-02-29T12:57:15.715Z	ERR IN	-	127.0.0.1:60903	4z35EpW2AK1KzYhhQbSznS3K8nx8Wr => NotSupported
2024-02-29T12:57:19.229Z	RES IN	0	127.0.0.1:60903	[3,"vMtUx9rv47CjKz41Qn5USj9Q38168x",{"status":"Accepted"}]
2024-02-29T12:57:21.444Z	RES IN	0	127.0.0.1:60903	[3,"MKn219CjxCtC4YYrhx23Wj8KEfrjvW",{"status":"Rejected","statusInfo":{"additionalInfo":"A transaction is already initializing","reasonCode":""}}]
2024-02-29T12:57:29.236Z	REQ IN	0	127.0.0.1:60903	[2,"3d292a58-c3a0-4035-a2ad-80e0972202ae","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T12:57:29.246Z	RES OUT	0	127.0.0.1:60903	[3,"3d292a58-c3a0-4035-a2ad-80e0972202ae",{"status":"Pending","currentTime":"2024-02-29T12:57:29.245Z","interval":30}]
2024-02-29T12:57:30.182Z	RES IN	0	127.0.0.1:60903	[3,"pKQn6d3hvAYA432Q8zd62At4jv915S",{"status":"Rejected","statusInfo":{"additionalInfo":"A transaction is already initializing","reasonCode":""}}]
2024-02-29T12:57:34.155Z	RES IN	0	127.0.0.1:60903	[3,"4U84Y574p755UYj3471bE7CSEt7Kn3",{"status":"Rejected","statusInfo":{"additionalInfo":"A transaction is already initializing","reasonCode":""}}]
2024-02-29T12:57:59.885Z	REQ IN	0	127.0.0.1:60903	[2,"b4853341-8684-4e27-8536-8fe9af7909eb","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T12:57:59.904Z	RES OUT	0	127.0.0.1:60903	[3,"b4853341-8684-4e27-8536-8fe9af7909eb",{"status":"Pending","currentTime":"2024-02-29T12:57:59.901Z","interval":30}]
2024-02-29T12:58:30.258Z	REQ IN	0	127.0.0.1:60903	[2,"7b4e449c-4dbe-411d-8a72-272432fa5ffb","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T12:58:30.268Z	RES OUT	0	127.0.0.1:60903	[3,"7b4e449c-4dbe-411d-8a72-272432fa5ffb",{"status":"Pending","currentTime":"2024-02-29T12:58:30.268Z","interval":30}]
2024-02-29T12:58:36.648Z	RES IN	0	127.0.0.1:60903	[3,"fSK3jW35364dEfU54CYj4zxrvvQnAS",{"status":"Accepted"}]
2024-02-29T12:58:51.391Z	RES IN	0	127.0.0.1:60903	[3,"2rAj7Gt37f14npGdbfA1WGSK58rA4z",{"status":"Rejected","statusInfo":{"additionalInfo":"A transaction is already initializing","reasonCode":""}}]
2024-02-29T12:59:00.539Z	REQ IN	0	127.0.0.1:60903	[2,"352577d2-fa99-4f05-9d40-f73f8c2d503a","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T12:59:00.555Z	RES OUT	0	127.0.0.1:60903	[3,"352577d2-fa99-4f05-9d40-f73f8c2d503a",{"status":"Pending","currentTime":"2024-02-29T12:59:00.554Z","interval":30}]
2024-02-29T12:59:30.958Z	REQ IN	0	127.0.0.1:60903	[2,"ece2ad0e-13a6-46e9-a78f-cf5a26042144","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T12:59:30.967Z	RES OUT	0	127.0.0.1:60903	[3,"ece2ad0e-13a6-46e9-a78f-cf5a26042144",{"status":"Pending","currentTime":"2024-02-29T12:59:30.966Z","interval":30}]
2024-02-29T12:59:48.859Z	RES IN	0	127.0.0.1:60903	[3,"j76rr2Md4CdnzjjME2Sxp82vY7G94x",{"status":"Scheduled"}]
2024-02-29T13:00:01.299Z	REQ IN	0	127.0.0.1:60903	[2,"51cab913-ea1f-4a44-88b7-59a3ff067626","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T13:00:01.309Z	RES OUT	0	127.0.0.1:60903	[3,"51cab913-ea1f-4a44-88b7-59a3ff067626",{"status":"Pending","currentTime":"2024-02-29T13:00:01.308Z","interval":30}]
2024-02-29T13:00:02.069Z	RES IN	0	127.0.0.1:60903	[3,"A9Ux1Y5brMQ8j1WMW1QrMj413j3f46",{"status":"Accepted"}]
2024-02-29T13:00:06.820Z	RES IN	0	127.0.0.1:60903	[3,"ph3n4xt2x23C3GpGU4dfGn858Sj78x",{"status":"Accepted"}]
2024-02-29T13:00:15.021Z	RES IN	0	127.0.0.1:60903	[3,"3tn7147n7vEjAWC63bt8Ax3p712rrS",{"status":"Accepted"}]
2024-02-29T13:00:18.338Z	RES IN	0	127.0.0.1:60903	[3,"2r25t2rjSrSnr6tQ4Wtvp9Wd3ME4AY",{"status":"Accepted"}]
2024-02-29T13:00:21.935Z	RES IN	0	127.0.0.1:60903	[3,"A76Q8EzhSGWQnrA95K73nz4YhES124",{"status":"Accepted"}]
2024-02-29T13:00:31.603Z	REQ IN	0	127.0.0.1:60903	[2,"4c42fbca-58e9-4a82-ae19-a2afecd33989","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T13:00:31.612Z	RES OUT	0	127.0.0.1:60903	[3,"4c42fbca-58e9-4a82-ae19-a2afecd33989",{"status":"Pending","currentTime":"2024-02-29T13:00:31.611Z","interval":30}]
2024-02-29T13:00:31.763Z	RES IN	0	127.0.0.1:60903	[3,"xEvn4ptKvEU3Q7GhdAh4h5548Y94v5",{"status":"NotImplemented"}]
2024-02-29T13:00:40.642Z	RES IN	0	127.0.0.1:60903	[3,"4979AftK99SjMj77r9b6A41S66WK59",{"status":"NotImplemented"}]
2024-02-29T13:00:46.658Z	RES IN	0	127.0.0.1:60903	[3,"QQfAzr54AtfMQ217AAQjr6M7n28Cfv",{"status":"NotImplemented"}]
2024-02-29T13:01:01.883Z	REQ IN	0	127.0.0.1:60903	[2,"dd4fd5ee-1939-4069-afa6-2e92536c939b","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T13:01:01.891Z	RES OUT	0	127.0.0.1:60903	[3,"dd4fd5ee-1939-4069-afa6-2e92536c939b",{"status":"Pending","currentTime":"2024-02-29T13:01:01.890Z","interval":30}]
2024-02-29T13:01:32.238Z	REQ IN	0	127.0.0.1:60903	[2,"d7a025ed-e6a2-4554-ae1a-7964e483cbe0","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T13:01:32.247Z	RES OUT	0	127.0.0.1:60903	[3,"d7a025ed-e6a2-4554-ae1a-7964e483cbe0",{"status":"Pending","currentTime":"2024-02-29T13:01:32.246Z","interval":30}]
2024-02-29T13:01:38.004Z	ERR IN	-	127.0.0.1:60903	Aj388r2hdGh8hUbrUzp8Q7pK4p7Q2S => NotSupported
2024-02-29T13:01:59.352Z	ERR IN	-	127.0.0.1:60903	764Kd93Wp7Qt7M1d26Y7SM7j12rA48 => NotSupported
2024-02-29T13:02:02.597Z	REQ IN	0	127.0.0.1:60903	[2,"b454e380-19f8-4da9-9412-ae3590eda563","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T13:02:02.611Z	RES OUT	0	127.0.0.1:60903	[3,"b454e380-19f8-4da9-9412-ae3590eda563",{"status":"Pending","currentTime":"2024-02-29T13:02:02.610Z","interval":30}]
2024-02-29T13:02:32.646Z	RES IN	0	127.0.0.1:60903	[3,"2MMrQzb9UQU4Sb957E2hj57SC39dt2",{"status":"Accepted"}]
2024-02-29T13:02:32.798Z	REQ IN	0	127.0.0.1:60903	[2,"54af6c23-9ca1-4ff9-81ac-251068168a5f","Heartbeat",{}]
2024-02-29T13:02:32.814Z	RES OUT	0	127.0.0.1:60903	[3,"54af6c23-9ca1-4ff9-81ac-251068168a5f",{"currentTime":"2024-02-29T13:02:32.812Z"}]
2024-02-29T13:02:33.149Z	REQ IN	0	127.0.0.1:60903	[2,"71804dcf-00fc-48ca-abc6-42e49c99677d","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
2024-02-29T13:02:33.158Z	RES OUT	0	127.0.0.1:60903	[3,"71804dcf-00fc-48ca-abc6-42e49c99677d",{"status":"Pending","currentTime":"2024-02-29T13:02:33.157Z","interval":30}]
2024-02-29T13:02:39.931Z	RES IN	0	127.0.0.1:60903	[3,"v9hvx6334AMAESvtY2xhU4MU5bf4p2",{"status":"Accepted"}]
2024-02-29T13:02:40.115Z	REQ IN	0	127.0.0.1:60903	[2,"80fffd94-694c-41fa-8c8e-f9afd5247758","Heartbeat",{}]
2024-02-29T13:02:40.124Z	RES OUT	0	127.0.0.1:60903	[3,"80fffd94-694c-41fa-8c8e-f9afd5247758",{"currentTime":"2024-02-29T13:02:40.124Z"}]
2024-02-29T13:03:03.564Z	REQ IN	0	127.0.0.1:60903	[2,"12f08c4b-d88e-4d32-acc3-69fda2556f69","BootNotification",{"chargingStation":{"model":"DCF2-213-80000000","vendorName":"Wallbox Chargers, Inc"},"reason":"Unknown"}]
